"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Taxable","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"00300504-6","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",15.75,,"Sales of Product Income","","","00300504-6
Razor-less Cream Shave, Regular Strength (6-Ounce - 6 Pack) Magic Brand",,0
"00860013000325","",0,"Non-Inventory","Single",,"00860013000325","Yes","","","","","","","","","","",1095.89,800,"Sales of Product Income","Cost of Goods Sold","","Contains 10 each REF 00860013000325
Fistula Funnel® Lot
1998380 Exp. 12/01/2027

**Delivery ~7 days ARO. Expedited shipping is available for an additional cost if needed sooner. ***","Contains 10 each REF 00860013000325
Fistula Funnel® Lot
1998380 Exp. 12/01/2027

**Delivery ~7 days ARO. Expedited shipping is available for an additional cost if needed sooner. ***",0
"008R1304","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",192.05,141.46,"Sales of Product Income","Cost of Goods Sold","","008R1304
Xerox 008R13041 Staple Cartridge for Light Production Finisher","008R1304
Xerox 008R13041 Staple Cartridge for Light Production Finisher",0
"0165SI20","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",163.77,148.88,"Sales of Product Income","Cost of Goods Sold","","Foley Catheter Bardex® I.C. 2-Way Standard Tip 5 cc Balloon 20 Fr. Silver Hydrogel Coated Latex",,0
"0165SI22","",0,"Non-Inventory","Single",,"0165SI22","Yes","","","","","","","","","","",152.95,142.94,"Sales of Product Income","Cost of Goods Sold","","Foley Catheter Bardex® I.C. 2-Way Standard Tip 5 cc Balloon 22 Fr. Silver Hydrogel Coated Latex",,0
"037","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",88.55,82,"Sales of Product Income","Cost of Goods Sold","","037
Icare Probes for Tonometers
100/BX","037
Icare Probes for Tonometers
100/BX",0
"038000077807 038000177804","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",24.69,20.99,"Sales of Product Income","Cost of Goods Sold","","038000077807 038000177804
SNACKS, KRISPIE TREATS,
RICE, 1.3 OZ, 25/BOX
Kellogg's Rice Krispies Treats 24/1.3 oz. Bars","038000077807 038000177804
SNACKS, KRISPIE TREATS,
RICE, 1.3 OZ, 25/BOX
Kellogg's Rice Krispies Treats 24/1.3 oz. Bars",0
"05702-1004","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",20.73,16.99,"Sales of Product Income","Cost of Goods Sold","","05702-1004
General Pencil Company The Masters Brush Cleaner & Preserver 2.5 0z.","05702-1004
General Pencil Company The Masters Brush Cleaner & Preserver 2.5 0z.",0
"0895001","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",7.93,5.95,"Sales of Product Income","Cost of Goods Sold","","895001
Eyewear, Solar Shield F/RX Glasses, UV Protection Smoke","895001
Eyewear, Solar Shield F/RX Glasses, UV Protection Smoke",0
"09161-1001","",0,"Non-Inventory","Single",,"ST","Yes","","","","","","","","","","",48.74,39.95,"Sales of Product Income","Cost of Goods Sold","","09161-1001
Princeton Aspen 6500 5pc Professional Paint Brushes - Princeton Acrylic Brushes - Synthetic Oil Painting Brushes for Oil Acrylic & Gouache - Set of Art Brushes Filbert Striper Flat & Round Brush Set","09161-1001
Princeton Aspen 6500 5pc Professional Paint Brushes - Princeton Acrylic Brushes - Synthetic Oil Painting Brushes for Oil Acrylic & Gouache - Set of Art Brushes Filbert Striper Flat & Round Brush Set",0
